MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude
CB4.1C,29462,BAY423,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,7/26/05,12:55:00,31,8.5,10.5,12,BP,D,S1,CHLA,,1.794,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,29462,BAY423,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,7/26/05,12:55:00,31,8.5,10.5,30,B ,D,S1,CHLA,,1.495,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,29764,BAY424,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,8/9/05,13:16:00,32.5,8.5,17.5,31,B ,D,S1,CHLA,,0.997,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,23448,BAY425,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,8/24/05,12:34:00,32.5,7.5,15.5,0.5,S ,D,S1,CHLA,,20.036,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,23448,BAY425,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,8/24/05,12:34:00,32.5,7.5,15.5,6,AP,D,S1,CHLA,,6.878,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,23448,BAY425,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,8/24/05,12:34:00,32.5,7.5,15.5,17,BP,D,S1,CHLA,,1.495,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,23742,BAY426,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,9/13/05,12:53:00,32.5,8.5,16.5,7,AP,D,S1,CHLA,,9.121,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,23448,BAY425,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,8/24/05,12:34:00,32.5,7.5,15.5,31,B ,D,S1,CHLA,,2.243,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,23742,BAY426,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,9/13/05,12:53:00,32.5,8.5,16.5,0.5,S ,D,S1,CHLA,,11.214,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,28164,BAY419,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,5/25/05,13:21:00,33,8.5,19.5,29.5,B ,D,S1,CHLA,,13.905,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,28534,BAY420,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,6/14/05,12:22:00,32,13.5,17.5,0.5,S ,D,S1,CHLA,,7.925,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,28534,BAY420,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,6/14/05,12:22:00,32,13.5,17.5,12,AP,D,S1,CHLA,,2.542,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,28534,BAY420,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,6/14/05,12:22:00,32,13.5,17.5,19,BP,D,S1,CHLA,,0.598,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,28534,BAY420,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,6/14/05,12:22:00,32,13.5,17.5,30,B ,D,S1,CHLA,,0.598,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,28822,BAY421,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,6/28/05,12:23:00,32.2,3.5,19.5,0.5,S ,D,S1,CHLA,,8.758,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,28822,BAY421,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,6/28/05,12:23:00,32.2,3.5,19.5,2,AP,D,S1,CHLA,,6.878,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,28822,BAY421,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,6/28/05,12:23:00,32.2,3.5,19.5,21,BP,D,S1,CHLA,,1.196,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,28822,BAY421,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,6/28/05,12:23:00,32.2,3.5,19.5,31,B ,D,S1,CHLA,,2.99,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,29148,BAY422,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,7/12/05,12:50:00,33,8.5,11.5,32,B ,D,S1,CHLA,,2.243,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,29148,BAY422,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,7/12/05,12:50:00,33,8.5,11.5,0.5,S ,D,S1,CHLA,,96.191,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,29148,BAY422,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,7/12/05,12:50:00,33,8.5,11.5,7,AP,D,S1,CHLA,,4.187,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,29148,BAY422,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,7/12/05,12:50:00,33,8.5,11.5,13,BP,D,S1,CHLA,,1.196,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,29462,BAY423,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,7/26/05,12:55:00,31,8.5,10.5,0.5,S ,D,S1,CHLA,,45.753,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,33532,BAY412,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,1/12/05,12:02:00,33.5,1.5,11.5,0.5,AP,D,S1,CHLA,,11.364,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,33532,BAY412,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,1/12/05,12:02:00,33.5,1.5,11.5,0.5,S ,D,S1,CHLA,,11.663,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,33532,BAY412,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,1/12/05,12:02:00,33.5,1.5,11.5,13,BP,D,S1,CHLA,,8.971,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,33532,BAY412,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,1/12/05,12:02:00,33.5,1.5,11.5,31,B ,D,S1,CHLA,,17.942,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,33974,BAY413,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,2/16/05,12:01:00,34,13.5,22.5,0.5,S ,D,S1,CHLA,,9.158,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,33974,BAY413,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,2/16/05,12:01:00,34,13.5,22.5,12,AP,D,S1,CHLA,,9.158,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,33974,BAY413,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,2/16/05,12:01:00,34,13.5,22.5,24,BP,D,S1,CHLA,,26.316,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,33974,BAY413,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,2/16/05,12:01:00,34,13.5,22.5,33,B ,D,S1,CHLA,,32.296,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,34256,BAY414,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,3/15/05,12:47:00,34,9.5,23.5,0.5,S ,D,S1,CHLA,,13.008,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,34256,BAY414,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,3/15/05,12:47:00,34,9.5,23.5,8,AP,D,S1,CHLA,,19.811,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,34256,BAY414,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,3/15/05,12:47:00,34,9.5,23.5,25,BP,D,S1,CHLA,,43.361,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,34256,BAY414,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,3/15/05,12:47:00,34,9.5,23.5,30.5,B ,D,S1,CHLA,,40.37,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,34574,BAY416,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,4/5/05,13:27:00,34,1.5,16.5,0.5,AP,D,S1,CHLA,,34.888,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,34574,BAY416,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,4/5/05,13:27:00,34,1.5,16.5,0.5,S ,D,S1,CHLA,,36.882,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,34574,BAY416,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,4/5/05,13:27:00,34,1.5,16.5,18,BP,D,S1,CHLA,,34.988,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,34574,BAY416,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,4/5/05,13:27:00,34,1.5,16.5,31,B ,D,S1,CHLA,,35.885,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,34907,BAY417,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,4/19/05,12:37:00,33,1.5,14.5,0.5,AP,D,S1,CHLA,,8.473,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,34907,BAY417,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,4/19/05,12:37:00,33,1.5,14.5,0.5,S ,D,S1,CHLA,,8.473,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,34907,BAY417,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,4/19/05,12:37:00,33,1.5,14.5,15,BP,D,S1,CHLA,,2.492,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,34907,BAY417,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,4/19/05,12:37:00,33,1.5,14.5,32,B ,D,S1,CHLA,,4.984,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,27879,BAY418,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,5/11/05,13:00:00,33,11.5,18.5,0.5,S ,D,S1,CHLA,,8.971,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,27879,BAY418,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,5/11/05,13:00:00,33,11.5,18.5,10,AP,D,S1,CHLA,,6.728,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,27879,BAY418,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,5/11/05,13:00:00,33,11.5,18.5,20,BP,D,S1,CHLA,,1.196,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,27879,BAY418,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,5/11/05,13:00:00,33,11.5,18.5,28,B ,D,S1,CHLA,,1.346,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,28164,BAY419,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,5/25/05,13:21:00,33,8.5,19.5,0.5,S ,D,S1,CHLA,,18.84,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,28164,BAY419,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,5/25/05,13:21:00,33,8.5,19.5,7,AP,D,S1,CHLA,,10.018,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,28164,BAY419,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,5/25/05,13:21:00,33,8.5,19.5,21,BP,D,S1,CHLA,,7.925,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,24675,BAY428,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,10/26/05,15:34:00,33,,,11,AP,D,S1,CHLA,,10.039,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,23742,BAY426,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,9/13/05,12:53:00,32.5,8.5,16.5,31,B ,D,S1,CHLA,,0.897,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,24675,BAY428,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,10/26/05,15:34:00,33,,,0.5,S ,D,S1,CHLA,,9.612,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,23742,BAY426,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,9/13/05,12:53:00,32.5,8.5,16.5,18,BP,D,S1,CHLA,,0.897,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,24675,BAY428,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,10/26/05,15:34:00,33,,,21,BP,D,S1,CHLA,,2.136,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,24675,BAY428,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,10/26/05,15:34:00,33,,,32,B ,D,S1,CHLA,,2.093,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,28,BP,D,S1,CHLA,,3.631,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,32,B ,D,S1,CHLA,,4.272,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,0.5,S ,D,S1,CHLA,,11.064,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,3,AP,D,S1,CHLA,,10.68,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,0.5,S ,D,S1,CHLA,,10.894,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,4,AP,D,S1,CHLA,,8.373,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,12,BP,D,S1,CHLA,,10.253,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,32,B ,D,S1,CHLA,,9.968,UG/L,L01 ,MDHMH,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,32,B ,ISM,M1,DO,,8.5,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,29,M ,ISM,M1,DO,,8.6,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,31,M ,ISM,M1,DO,,8.6,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,12,BP,ISM,M1,DO,,8.7,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,9,M ,ISM,M1,DO,,9.3,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,10,M ,ISM,M1,DO,,9,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,11,M ,ISM,M1,DO,,8.9,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,13,M ,ISM,M1,DO,,8.8,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,14,M ,ISM,M1,DO,,8.7,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,15,M ,ISM,M1,DO,,8.8,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,17,M ,ISM,M1,DO,,8.7,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,19,M ,ISM,M1,DO,,8.7,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,21,M ,ISM,M1,DO,,8.7,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,23,M ,ISM,M1,DO,,8.7,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,25,M ,ISM,M1,DO,,8.8,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,27,M ,ISM,M1,DO,,8.7,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,4,AP,ISM,M1,DO,,11,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,5,M ,ISM,M1,DO,,10.9,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,6,M ,ISM,M1,DO,,10.4,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,7,M ,ISM,M1,DO,,9.6,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,8,M ,ISM,M1,DO,,9.6,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,0.5,S ,ISM,M1,DO,,11.5,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,27,M ,ISM,M1,DO,,4.6,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,1,M ,ISM,M1,DO,,11.1,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,2,M ,ISM,M1,DO,,11,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,14902,BAY431,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,12/14/05,13:00:00,33,5.5,10.5,3,M ,ISM,M1,DO,,10.9,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,3,AP,ISM,M1,DO,,8.9,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,24675,BAY428,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,10/26/05,15:34:00,33,,,31,M ,ISM,M1,DO,,5.4,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,29,M ,ISM,M1,DO,,4.5,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,31,M ,ISM,M1,DO,,4.5,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,1,M ,ISM,M1,DO,,8.9,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,2,M ,ISM,M1,DO,,8.9,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,4,M ,ISM,M1,DO,,8.8,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,5,M ,ISM,M1,DO,,8.2,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,6,M ,ISM,M1,DO,,8.1,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,7,M ,ISM,M1,DO,,7.6,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,8,M ,ISM,M1,DO,,7.3,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,9,M ,ISM,M1,DO,,7.2,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,10,M ,ISM,M1,DO,,7.2,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,11,M ,ISM,M1,DO,,7.2,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,12,M ,ISM,M1,DO,,6.9,MG/L,F01 ,,,,,,38.82593,-76.39945
CB4.1C,25005,BAY430,TWQM,MAIN,MDDNR,MDDNR,CB4.1C,11/15/05,12:05:00,33,4.5,26.5,13,M ,ISM,M1,DO,,5.9,MG/L,F01 ,,,,,,38.82593,-76.39945
